"S+G2/G1"	"EDU"	"AK leakage"	"Resazurin"	"Cell Number"
"IKBKE"	0	0	-0.666666666666667	0.666666666666667	0.333333333333333
"IKBKB"	0	0	-0.666666666666667	0	0.333333333333333
"MAP3K7"	0	0.333333333333333	0.333333333333333	-0.666666666666667	-0.333333333333333
"PKN3"	0	1	-0.333333333333333	0.333333333333333	0.333333333333333
"PKMYT1"	0	0	-0.666666666666667	1	0.333333333333333
"NME6"	0	0	-1	0	0.333333333333333
"NME5"	0	0	0	0.333333333333333	0.333333333333333
"PKLR"	0	0	-0.666666666666667	-0.333333333333333	0
"PKIA"	0	0.333333333333333	0	0	0.666666666666667
"PITPNM3"	0	0	0	-0.333333333333333	-0.333333333333333
"NLK"	0	0	-0.666666666666667	0	0.333333333333333
"STK4"	0	0.333333333333333	0	0	0
"STK29"	0	0	0	0.333333333333333	0
"STK25"	0	0	0	0.333333333333333	0
"STK22D"	0	0	0	-0.666666666666667	0
"STK22B"	0	0	0	0	0.666666666666667
"STK17A"	-0.333333333333333	-0.333333333333333	-0.333333333333333	-0.333333333333333	0.666666666666667
"SSTK"	0	0.333333333333333	0	-1	-1
"SQSTM1"	0	0	-1	0	0.666666666666667
"SPHK1"	0	0.666666666666667	0	-0.666666666666667	0
"UCK1"	0	1	0	-0.333333333333333	-0.666666666666667
"SNF1LK"	0	0	0	0	0.666666666666667
"TYK2"	0	0.666666666666667	0	0	-0.333333333333333
"SCYL1"	0	0	0	0.333333333333333	0.666666666666667
"TRIO"	0	0	0	-0.333333333333333	0
"SAST"	0	1	0	0	0
"KALRN"	0	0	0.666666666666667	-1	-0.333333333333333
"TLR3"	0	0	0	0	0
"RPS6KA3"	0	0	0	0	-0.666666666666667
"TLR1"	0.333333333333333	0	0	-0.333333333333333	0
"RNASEL"	0	0.333333333333333	0	-1	0
"TESK2"	0	0	-1	0.333333333333333	1
"RIPK2"	0	0.666666666666667	0	0.333333333333333	0
"TBK1"	0	0.333333333333333	-0.333333333333333	0	0
"RBKS"	0	0	0	0	0
"AURKC"	0	0	1	-1.33333333333333	-0.666666666666667
