"Yield","Northing","Easting","TimeStamp"
48.78544584,251.734380570417,3.3138921332698,"2013-09-30 18:48:17"
44.08314038,249.824337600306,3.30604368787743,"2013-09-30 18:48:18"
43.71821384,247.903788951824,3.28526186022464,"2013-09-30 18:48:19"
37.21861811,245.98335088905,3.31024428059089,"2013-09-30 18:48:20"
35.21247692,244.042012055244,3.31654514217047,"2013-09-30 18:48:21"
32.41227062,242.070372632255,3.36518348473618,"2013-09-30 18:48:22"
39.14818081,240.098180279155,3.32616225387972,"2013-09-30 18:48:23"
34.5722533,238.117693968911,3.29211543042101,"2013-09-30 18:48:24"
41.47338472,236.138313519671,3.32019301684181,"2013-09-30 18:48:25"
37.35554311,234.216437837198,3.31643459070762,"2013-09-30 18:48:26"
44.67615446,232.288590506868,3.31742947532894,"2013-09-30 18:48:27"
